[2026-09-17 16:31:53]	[EmigTest] endTurn blocked by NOTIFICATION_ASSIGN_NEW_RESOURCES tries=1 
[2026-09-17 16:31:58]	[EmigTest] endTurn blocked by NOTIFICATION_ASSIGN_NEW_RESOURCES tries=2 
[2026-09-17 16:31:58]	[EmigTest] endTurn: using one-turn Autoplay to pass the turn as player 1 
[2026-09-17 16:32:02]	[EmigTest] endTurn blocked by NOTIFICATION_ASSIGN_NEW_RESOURCES tries=1 
[2026-09-17 16:32:07]	[EmigTest] endTurn blocked by NOTIFICATION_ASSIGN_NEW_RESOURCES tries=2 
[2026-09-17 16:32:07]	[EmigTest] endTurn: using one-turn Autoplay to pass the turn as player 1 
[2026-09-17 16:32:19]	[EmigTest] C1 activations=[{"turn":1,"who":0,"local":0},{"turn":1,"who":1,"local":1}] 
[2026-09-17 16:32:19]	[EmigTest] C2 activationsPerGameTurn={"1":2} distinctLocalIds=[0,1] 
[2026-09-17 16:32:19]	[EmigTest] VERDICT HUMANS=1 ACTIVATIONS_PER_TURN_MAX=2 INCONCLUSIVE (needed two humans) 
[2026-09-17 16:32:19]	[EmigTest] DONE modtest4 finished 
